                 ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
reference_score_c,0.5974,0.153,3.907,0,0.298,0.897
mean_author_score,-0.159,0.174,-0.913,0.361,-0.5,0.182
year             ,-0.0157,0.159,-0.099,0.921,-0.327,0.295
sensors          ,-0.0653,0.167,-0.391,0.696,-0.393,0.262
frames           ,0.1338,0.125,1.067,0.286,-0.112,0.38
intercept        ,4.5138,0.136,33.278,0,4.248,4.78
